,city,state,room_type,security_deposit,guests_included,extra_people,minimum_nights,maximum_nights,review_scores_rating
0,LOS ANGELES,CA,Private room,0,1,0,2,30,100
1,NEW YORK,NY,Entire home/apt,1000,1,0,1,1125,91
2,NEW YORK,NY,Entire home/apt,450,2,150,5,1125,95
3,KAILUA-KONA,HI,Entire home/apt,500,1,0,2,1125,98
4,BROOKLYN,NY,Entire home/apt,100,4,15,4,60,94
5,NASHVILLE,TN,Entire home/apt,400,16,10,1,1125,100
6,WASHINGTON,DC,Entire home/apt,500,1,0,30,1125,100
7,BROOKLYN,NY,Private room,0,1,0,2,1125,100
8,BROOKLYN,NY,Private room,0,1,10,3,1125,92
9,HONOLULU,HI,Entire home/apt,1000,6,0,1,1125,94
10,SANTA CLARA,CA,Private room,100,1,15,3,90,99
11,SAN JOSE,CA,Private room,0,1,30,2,1125,99
12,SAN FRANCISCO,CA,Private room,200,1,15,1,30,98
13,LOS ANGELES,CA,Entire home/apt,450,6,25,1,90,93
14,SAN FRANCISCO,CA,Entire home/apt,0,1,0,2,7,98
15,QUEENS,NY,Entire home/apt,200,2,40,2,28,99
16,MONTEREY PARK,CA,Private room,200,1,0,1,1125,98
17,HALEIWA,HI,Entire home/apt,300,1,0,30,1125,98
18,KIHEI,HI,Entire home/apt,0,1,0,3,60,100
19,LOS ANGELES,CA,Shared room,0,1,0,30,365,92
20,BROOKLYN ,NY,Entire home/apt,200,12,20,4,20,98
21,NEW ORLEANS,LA,Private room,299,2,35,2,60,99
22,BROOKLYN,NY,Private room,0,1,0,1,30,92
23,LOS ANGELES,CA,Entire home/apt,500,1,0,31,180,98
24,NASHVILLE,TN,Entire home/apt,0,1,0,2,1125,80
25,AUSTIN,TX,Entire home/apt,0,1,0,2,1125,98
26,"JAMAICA PLAIN, BOSTON",MA,Entire home/apt,0,4,50,5,120,94
27,NEW ORLEANS,LA,Entire home/apt,0,4,0,2,1125,94
28,SAN DIEGO,CA,Entire home/apt,1000,1,0,2,1125,94
29,SAN FRANCISCO,CA,Entire home/apt,250,4,0,1,14,98
30,MILPITAS,CA,Private room,0,1,5,1,1125,100
31,NEW YORK,NY,Private room,0,1,0,5,1125,98
32,NEW ORLEANS,LA,Entire home/apt,0,1,0,2,1125,100
33,BROOKLYN,NY,Entire home/apt,0,1,0,2,1125,93
34,HONOLULU,HI,Entire home/apt,0,4,15,2,1125,95
35,HONOLULU,HI,Entire home/apt,500,2,0,30,1125,100
36,WASHINGTON,DC,Entire home/apt,0,1,0,2,30,100
37,AUSTIN,TX,Entire home/apt,200,1,0,45,1125,97
38,TORRANCE,CA,Private room,100,1,30,2,1125,100
39,HONOLULU,HI,Entire home/apt,500,1,0,2,1125,96
40,DENVER,CO,Entire home/apt,250,5,0,30,62,96
41,WASHINGTON,DC,Entire home/apt,0,1,0,1,890,100
42,HONOLULU,HI,Entire home/apt,100,1,0,1,1125,79
43,ROWLAND HEIGHTS,CA,Private room,0,1,0,1,1125,99
44,SOUTH PASADENA,CA,Entire home/apt,500,3,18,1,365,98
45,SEATTLE,WA,Entire home/apt,0,2,15,2,1125,97
46,DENVER,CO,Private room,0,1,0,1,1125,97
47,WAIALUA,HI,Entire home/apt,250,6,50,30,1125,100
48,WASHINGTON,DC,Entire home/apt,150,2,25,2,1125,100
49,SAN DIEGO,CA,Entire home/apt,100,2,0,1,1125,98
50,CHICAGO,IL,Entire home/apt,0,1,0,14,1125,100
51,SAINT PAUL,MN,Private room,0,1,0,1,30,96
52,LOS ANGELES,CA,Entire home/apt,0,1,0,2,1125,88
53,QUEENS,NY,Entire home/apt,1500,2,40,10,21,100
54,SAN DIEGO,CA,Private room,0,1,35,2,7,90
55,CHICAGO,IL,Entire home/apt,300,2,25,2,365,100
56,LAHAINA,HI,Entire home/apt,0,1,0,4,180,97
57,NEW YORK,NY,Private room,200,1,25,6,1125,90
58,SANTA CLARA,CA,Shared room,0,1,0,1,1125,96
59,NASHVILLE,TN,Entire home/apt,250,2,0,2,1125,98
60,KIHEI,HI,Entire home/apt,0,2,15,5,180,97
61,BROOKLYN,NY,Private room,250,1,0,2,28,90
62,CANOGA PARK,CA,Private room,200,1,0,1,1125,100
63,MINNEAPOLIS,MN,Private room,0,1,5,3,14,98
64,PRINCEVILLE,HI,Entire home/apt,1500,6,100,3,240,99
65,KAILUA-KONA,HI,Private room,200,1,0,2,10,100
66,QUEENS,NY,Private room,0,1,5,30,1125,87
67,QUEENS,NY,Entire home/apt,200,1,50,2,360,95
68,WASHINGTON,DC,Entire home/apt,200,2,20,2,1125,100
69,AUSTIN,TX,Private room,0,1,0,1,1125,100
70,AUSTIN,TX,Shared room,0,1,0,30,1125,93
71,SAN JOSE,CA,Shared room,100,1,20,1,15,100
72,SAN DIEGO,CA,Entire home/apt,500,6,15,2,1125,99
73,CUPERTINO,CA,Private room,100,1,25,5,90,96
74,NEW YORK,NY,Entire home/apt,300,2,20,1,1125,91
75,LOS ANGELES,CA,Entire home/apt,0,1,0,2,1125,100
76,BOSTON,MA,Entire home/apt,300,2,18,2,500,87
77,KIHEI,HI,Entire home/apt,0,1,0,4,1125,91
78,SAN FRANCISCO,CA,Entire home/apt,500,1,0,30,1125,94
79,NEW YORK,NY,Entire home/apt,0,1,0,2,29,100
80,BROOKLYN,NY,Entire home/apt,0,3,35,4,24,98
81,MILPITAS,CA,Private room,1500,2,35,7,180,100
82,SAN DIEGO,CA,Entire home/apt,100,2,25,1,365,70
83,SAN FRANCISCO,CA,Entire home/apt,4000,1,0,30,1000,100
84,SAN DIEGO,CA,Entire home/apt,350,1,0,25,120,89
85,BEVERLY HILLS,CA,Private room,125,1,35,1,1125,99
86,QUEENS,NY,Private room,0,1,0,2,1125,88
87,KAPAA,HI,Entire home/apt,0,4,0,1,365,90
88,SAN DIEGO,CA,Entire home/apt,0,5,10,3,1125,97
89,SAN FRANCISCO,CA,Entire home/apt,400,2,0,30,120,100
90,WASHINGTON,DC,Private room,0,1,0,2,1125,86
91,HERMOSA BEACH,CA,Private room,0,2,0,30,90,98
92,BROOKLYN,NY,Private room,300,1,0,60,1125,88
93,WALNUT,CA,Private room,0,2,10,1,1125,90
94,LOS ANGELES,CA,Entire home/apt,0,1,0,30,1125,99
95,NEW YORK,NY,Entire home/apt,300,1,0,28,1125,93
96,BROOKLYN,NY,Entire home/apt,300,2,20,5,90,98
97,PORTLAND,OR,Private room,100,1,0,4,1125,97
98,SUNNYVALE,CA,Private room,0,1,20,1,1125,99
99,OAKLAND,CA,Entire home/apt,0,1,0,3,1125,98
100,NEW YORK,NY,Entire home/apt,650,2,75,2,30,95
101,BROOKLYN,NY,Entire home/apt,0,2,30,8,200,100
102,SAN FRANCISCO,CA,Entire home/apt,500,1,0,30,1125,97
103,PORTLAND,OR,Entire home/apt,200,1,0,30,365,95
104,SUNNYVALE,CA,Entire home/apt,150,6,0,5,1125,89
105,SAN DIEGO,CA,Entire home/apt,0,4,300,2,28,99
106,NEW YORK,NY,Private room,0,2,20,3,1125,72
107,WASHINGTON,DC,Entire home/apt,1000,6,50,3,1125,99
108,LOS ANGELES,CA,Entire home/apt,100,1,100,30,180,96
109,KIHEI,HI,Entire home/apt,500,2,10,5,1125,97
110,LOS ANGELES,CA,Private room,200,1,0,30,1125,94
111,MONTEREY PARK,CA,Private room,0,1,10,1,360,98
112,SEATTLE,WA,Entire home/apt,0,1,0,3,30,74
113,SAN FRANCISCO,CA,Entire home/apt,500,6,0,3,10,100
114,SAN FRANCISCO,CA,Entire home/apt,500,2,25,30,120,98
115,SAN DIEGO,CA,Entire home/apt,0,6,25,3,28,97
116,LOS ANGELES,CA,Private room,0,1,20,2,8,100
117,AUSTIN,TX,Entire home/apt,200,2,5,2,1125,96
118,WASHINGTON,DC,Entire home/apt,100,1,0,3,29,96
119,SAN FRANCISCO,CA,Entire home/apt,0,1,0,2,5,96
120,AUSTIN,TX,Private room,0,5,50,1,1125,100
121,BROOKLYN,NY,Private room,0,2,25,1,28,100
122,VENICE,CA,Entire home/apt,500,2,50,2,90,96
123,LOS ANGELES,CA,Entire home/apt,100,1,0,31,300,96
124,LOS ANGELES,CA,Entire home/apt,0,6,35,2,1125,95
125,AUSTIN,TX,Entire home/apt,100,4,11,1,365,96
126,NEW ORLEANS,LA,Entire home/apt,300,1,0,2,1125,94
127,LAHAINA,HI,Entire home/apt,0,2,0,1,1125,96
128,WAIMEA,HI,Entire home/apt,100,2,0,180,250,100
129,WEST COVINA,CA,Private room,150,1,0,1,50,99
130,AUSTIN,TX,Entire home/apt,0,1,25,3,4,100
131,HONOLULU,HI,Entire home/apt,200,2,100,3,7,100
132,BROOKLYN,NY,Entire home/apt,0,1,0,2,1125,100
133,CHULA VISTA,CA,Entire home/apt,700,1,0,2,30,95
134,ALHAMBRA,CA,Entire home/apt,0,1,0,3,14,95
135,ELMHURST,NY,Private room,0,1,0,3,1125,100
136,ROWLAND HEIGHTS,CA,Entire home/apt,800,3,10,20,288,100
137,HOLUALOA,HI,Entire home/apt,5000,8,250,5,1125,100
138,WEST HOLLYWOOD,CA,Entire home/apt,350,2,35,1,1125,95
139,DENVER,CO,Private room,0,1,0,1,1125,99
140,WAIALUA,HI,Private room,0,1,0,1,14,86
141,SAN FRANCISCO,CA,Entire home/apt,1200,1,0,30,1125,100
142,BOSTON,MA,Entire home/apt,200,4,50,3,10,96
143,LOS ANGELES,CA,Entire home/apt,100,4,28,1,1125,92
144,LAHAINA,HI,Entire home/apt,0,2,0,5,90,97
145,LAHAINA,HI,Entire home/apt,150,1,0,7,1124,100
146,PORTLAND,OR,Private room,400,1,20,1,1125,98
147,NASHVILLE,TN,Entire home/apt,0,4,30,3,1125,98
148,LOS ANGELES,CA,Private room,300,1,30,2,21,99
149,BURBANK,CA,Private room,200,2,25,2,30,99
150,SAN DIEGO,CA,Entire home/apt,200,2,75,2,31,98
151,AUSTIN,TX,Entire home/apt,1000,12,20,1,30,98
152,CANAGO PARK,CA,Entire home/apt,0,1,10,1,1125,93
153,WASHINGTON,DC,Entire home/apt,300,1,0,2,30,100
154,BROOKLYN,NY,Entire home/apt,0,3,25,5,31,93
155,MENLO PARK,CA,Entire home/apt,0,2,50,2,7,100
156,NEW ORLEANS,LA,Hotel room,0,10,100,1,1125,96
157,MARINA DEL REY,CA,Entire home/apt,500,2,0,30,180,98
158,AUSTIN,TX,Entire home/apt,100,1,0,2,1124,95
159,NASHVILLE,TN,Entire home/apt,0,1,0,1,1125,99
160,LOS ANGELES,CA,Private room,100,2,15,30,367,91
161,LOS ANGELES,CA,Entire home/apt,0,1,0,30,1125,90
162,NEW ORLEANS,LA,Entire home/apt,0,1,0,2,90,100
163,NEW YORK,NY,Private room,100,2,20,30,1125,100
164,AUSTIN,TX,Entire home/apt,100,2,5,2,120,99
165,BLAINE,MN,Entire home/apt,1500,1,0,3,12,100
166,BOSTON,MA,Entire home/apt,500,2,5,30,1124,88
167,HONOLULU,HI,Entire home/apt,200,1,0,3,120,91
168,CHICAGO,IL,Entire home/apt,100,4,10,3,60,97
169,LOS ANGELES,CA,Entire home/apt,200,3,25,1,1125,95
170,SAN FRANCISCO,CA,Private room,0,1,0,2,1125,98
171,BROOKLYN,NY,Private room,0,1,20,2,1125,88
172,BROOKLYN,NY,Entire home/apt,350,4,25,2,30,97
173,DENVER,CO,Entire home/apt,0,2,15,1,10,100
174,ELK RIVER,MN,Private room,0,2,10,1,30,98
175,NEW YORK,NY,Entire home/apt,1000,2,50,8,30,91
176,AUSTIN,TX,Entire home/apt,0,1,0,1,1125,90
177,BROOKLYN,NY,Entire home/apt,100,1,25,2,60,93
178,PORTLAND,OR,Private room,0,1,0,2,10,100
179,SANTA CRUZ,CA,Entire home/apt,1000,6,75,2,365,91
180,MONTEREY PARK,CA,Entire home/apt,400,2,0,1,1125,98
181,TORRANCE,CA,Private room,100,2,20,3,1125,94
182,SAN JOSE,CA,Entire home/apt,300,3,10,6,1125,95
183,KULA,HI,Entire home/apt,2500,4,0,3,365,100
184,NEW YORK,NY,Entire home/apt,0,1,0,5,1125,95
185,BROOKLYN,NY,Entire home/apt,500,1,20,15,1125,89
186,BROOKLYN,NY,Private room,0,1,25,3,1125,90
187,HONOLULU,HI,Private room,0,1,0,30,1125,100
188,REDONDO BEACH,CA,Private room,100,3,20,1,30,100
189,SANTA CRUZ,CA,Entire home/apt,300,10,0,7,1100,97
190,PORTLAND,OR,Private room,0,1,10,2,1125,98
191,LOS ANGELES,CA,Entire home/apt,0,4,10,2,15,97
192,BROOKLYN,NY,Private room,0,1,0,1,1125,20
193,LOS ANGELES,CA,Entire home/apt,100,1,79,1,60,95
194,PRINCEVILLE,HI,Private room,100,1,0,1,31,97
195,SEATTLE,WA,Shared room,0,1,0,30,30,60
196,BROOKLYN,NY,Private room,0,1,40,2,365,90
197,LOS ANGELES,CA,Entire home/apt,100,3,100,2,1125,98
198,WEST HOLLYWOOD,CA,Entire home/apt,0,4,25,1,1125,85
199,SEATTLE,WA,Private room,0,1,0,3,30,99
200,AUSTIN,TX,Entire home/apt,150,1,0,2,14,100
201,BROOKLYN,NY,Hotel room,0,1,0,1,1125,89
202,QUEENS,NY,Entire home/apt,0,2,20,3,1125,97
203,LAHAINA,HI,Entire home/apt,0,1,0,2,180,94
204,SAN FRANCISCO,CA,Entire home/apt,250,1,0,3,1125,96
205,BELLFLOWER,CA,Entire home/apt,0,2,10,2,1125,89
206,AUSTIN,TX,Private room,0,2,15,3,30,100
207,LOS ANGELES,CA,Entire home/apt,0,2,0,1,1125,99
208,SAINT PAUL,MN,Private room,0,1,10,1,14,99
209,PRINCEVILLE,HI,Entire home/apt,500,4,25,4,28,99
210,REDONDO BEACH,CA,Private room,0,1,0,1,14,93
211,SAINT PAUL,MN,Entire home/apt,0,2,10,1,1125,99
212,PRINCEVILLE,HI,Entire home/apt,200,2,0,1,28,96
213,SAN JOSE,CA,Entire home/apt,0,2,10,3,28,99
214,NASHVILLE,TN,Entire home/apt,1700,1,0,2,1125,100
215,LOS ANGELES,CA,Entire home/apt,3000,1,0,2,21,100
216,MINNEAPOLIS,MN,Private room,0,2,0,3,180,97
217,AUSTIN,TX,Entire home/apt,100,1,0,2,31,100
218,NEW YORK,NY,Private room,0,1,20,1,7,100
219,LOS ANGELES,CA,Entire home/apt,0,1,0,7,21,100
220,NEW ORLEANS,LA,Entire home/apt,500,4,5,2,365,96
221,AUSTIN,TX,Entire home/apt,0,1,0,2,1125,83
222,PORTLAND,OR,Entire home/apt,0,1,0,2,7,99
223,BROOKLYN,NY,Private room,150,4,40,2,60,94
224,NEW YORK,NY,Private room,0,1,0,2,1125,98
225,SAN FRANCISCO,CA,Entire home/apt,300,1,0,4,30,97
226,GOODLETTSVILLE,TN,Private room,0,2,20,1,1125,100
227,LONG BEACH,CA,Entire home/apt,900,2,10,5,320,96
228,KIHEI,HI,Entire home/apt,0,1,0,2,1125,99
229,PORTLAND,OR,Entire home/apt,0,3,0,2,30,100
230,ALTADENA,CA,Entire home/apt,1500,1,0,5,365,80
231,WAIANAE,HI,Entire home/apt,300,2,10,3,1125,94
232,SAN DIEGO,CA,Entire home/apt,400,4,10,2,30,96
233,SAN DIEGO,CA,Entire home/apt,250,1,0,2,30,100
234,SAINT PAUL,MN,Entire home/apt,100,3,25,2,1125,100
235,KAILUA-KONA,HI,Entire home/apt,0,1,0,3,30,100
236,BOSTON,MA,Private room,0,1,20,28,1125,96
237,LA JOLLA,CA,Private room,0,2,0,1,365,80
238,MINNEAPOLIS,MN,Private room,0,2,20,2,21,97
239,NASHVILLE,TN,Entire home/apt,200,10,100,2,180,99
240,NEW YORK,NY,Entire home/apt,500,2,10,3,1125,90
241,BROOKLYN,NY,Entire home/apt,0,1,0,7,1125,100
242,LOS ANGELES,CA,Entire home/apt,1000,6,50,365,1125,95
243,NEW ORLEANS,LA,Entire home/apt,0,1,0,2,1125,97
244,NEW YORK,NY,Entire home/apt,250,4,25,3,10,100
245,SAN DIEGO,CA,Entire home/apt,350,2,25,2,1125,98
246,BROOKLYN,NY,Entire home/apt,0,1,0,4,14,95
247,NASHVILLE,TN,Entire home/apt,300,4,25,2,1125,98
248,NASHVILLE,TN,Private room,0,1,0,1,7,97
249,SAN FRANCISCO,CA,Entire home/apt,0,4,50,3,30,80
250,NEW ORLEANS,LA,Entire home/apt,200,4,25,7,60,94
251,LONG BEACH,CA,Entire home/apt,200,1,0,2,1125,80
252,SAN FRANCISCO,CA,Entire home/apt,750,1,0,30,1125,96
253,KIHEI,HI,Entire home/apt,0,2,0,1,365,80
254,MANHATTAN ,NY,Private room,0,1,20,3,1125,95
255,SEATTLE,WA,Entire home/apt,150,2,10,4,120,99
256,LAKEWAY,TX,Entire home/apt,100,6,50,3,1125,100
257,SEATTLE,WA,Entire home/apt,0,2,10,1,18,85
258,SAN DIEGO,CA,Entire home/apt,500,2,0,1,14,96
259,NEW YORK,NY,Private room,0,1,0,4,60,98
260,CHICAGO,IL,Private room,0,2,25,1,365,98
261,KAPOLEI,HI,Entire home/apt,100,3,20,31,120,84
262,BROOKLYN,NY,Entire home/apt,0,4,20,3,1125,91
263,BROOKLYN,NY,Private room,0,1,0,1,7,100
264,SEATTLE,WA,Entire home/apt,0,2,20,2,29,98
265,AUSTIN,TX,Entire home/apt,0,4,0,2,30,100
266,NEW ORLEANS,LA,Private room,0,1,0,5,90,100
267,CHICAGO,IL,Private room,100,1,10,10,1125,100
268,LONG BEACH,CA,Entire home/apt,150,2,15,2,14,98
269,NEW ORLEANS,LA,Entire home/apt,0,1,0,2,1125,95
270,NASHVILLE,TN,Private room,0,2,10,1,1125,97
271,CHICAGO,IL,Entire home/apt,600,6,25,3,1125,100
272,BROOKLYN,NY,Entire home/apt,0,2,10,2,1125,95
273,WEST HOLLYWOOD,CA,Private room,200,1,0,3,14,100
274,DENVER,CO,Private room,150,1,10,30,365,92
275,PORTLAND,OR,Entire home/apt,0,1,0,5,30,100
276,NEW ORLEANS,LA,Private room,100,1,0,1,1125,98
277,SAN FRANCISCO,CA,Entire home/apt,500,4,45,2,29,96
278,BROOKLYN,NY,Entire home/apt,300,2,70,2,9,100
279,LOS ANGELES,CA,Entire home/apt,500,1,0,1,1125,100
280,NASHVILLE,TN,Entire home/apt,500,1,0,3,31,100
281,AUSTIN,TX,Entire home/apt,250,6,0,3,90,98
282,SAN DIEGO,CA,Entire home/apt,295,2,20,1,365,96
283,LAIE,HI,Entire home/apt,0,22,35,2,120,100
284,LAHAINA,HI,Entire home/apt,200,1,0,4,30,100
285,SAN FRANCISCO,CA,Entire home/apt,300,2,50,30,180,96
286,DENVER,CO,Entire home/apt,0,1,15,2,1125,100
287,QUEENS,NY,Entire home/apt,0,1,0,3,25,60
288,NEW YORK,NY,Entire home/apt,100,2,25,2,14,99
289,AUSTIN,TX,Entire home/apt,0,1,0,2,2,100
290,KAILUA,HI,Private room,1250,2,20,30,1125,99
291,BROOKLYN,NY,Entire home/apt,0,1,0,1,1125,98
292,NEW ORLEANS,LA,Entire home/apt,100,2,250,2,1125,96
293,KAILUA-KONA,HI,Entire home/apt,300,4,10,7,90,89
294,SAN JOSE,CA,Private room,100,1,10,1,1125,96
295,SAN DIEGO,CA,Entire home/apt,1000,1,0,5,1125,93
296,SEATTLE,WA,Private room,0,1,0,3,30,94
297,PORTLAND,OR,Entire home/apt,150,2,25,1,1125,95
298,SAN DIEGO,CA,Entire home/apt,200,1,0,1,30,95
299,ATHERTON,CA,Entire home/apt,300,2,0,4,1125,100
300,NASHVILLE,TN,Entire home/apt,0,2,10,1,1125,95
301,SANTA CLARA,CA,Entire home/apt,500,1,0,30,1125,80
302,DENVER,CO,Entire home/apt,500,4,35,3,14,98
303,PORTLAND,OR,Private room,0,1,0,2,14,97
304,LOS ANGELES,CA,Entire home/apt,500,3,30,5,1125,100
305,BROOKLYN,NY,Entire home/apt,0,1,0,3,1125,93
306,LAIE,HI,Entire home/apt,750,1,0,30,1125,90
307,KAPAʻA,HI,Entire home/apt,250,4,5,2,180,93
308,MALIBU,CA,Private room,0,1,0,1,1125,96
309,THE BRONX,NY,Entire home/apt,0,1,0,1,29,94
310,SAN FRANCISCO,CA,Private room,200,1,0,2,10,100
311,SAN DIEGO,CA,Entire home/apt,195,3,95,2,1125,97
312,FELTON,CA,Entire home/apt,0,1,0,2,28,89
313,KAILUA-KONA,HI,Entire home/apt,600,4,15,4,31,100
314,SEATTLE,WA,Entire home/apt,500,1,0,30,1125,100
315,QUEENS,NY,Entire home/apt,0,4,10,2,1125,80
316,GILROY,CA,Entire home/apt,850,1,19,1,7,99
317,NASHVILLE,TN,Private room,0,1,5,1,7,99
318,NEW ORLEANS,LA,Entire home/apt,400,4,0,3,1125,98
319,PORTLAND,OR,Entire home/apt,0,1,0,3,1125,99
320,AUSTIN,TX,Entire home/apt,200,4,20,5,365,97
321,SAN JOSE,CA,Private room,150,1,0,2,1125,100
322,SAN JOSE,CA,Private room,0,1,0,2,10,97
323,WASHINGTON,DC,Entire home/apt,500,1,0,30,1125,100
324,NASHVILLE,TN,Entire home/apt,0,8,100,2,1125,100
325,BOSTON,MA,Private room,0,4,0,1,1125,87
326,PORTLAND,OR,Entire home/apt,0,1,0,1,28,98
327,SAN FRANCISCO,CA,Private room,0,1,0,3,26,98
328,BROOKLYN,NY,Entire home/apt,150,2,20,2,1125,99
329,OAKLAND,CA,Entire home/apt,200,1,10,2,1125,97
330,NASHVILLE,TN,Entire home/apt,0,1,0,4,1125,99
331,SAN DIEGO,CA,Entire home/apt,450,6,15,1,1125,100
332,KAHUKU,HI,Entire home/apt,150,1,0,1,1125,96
333,SAINT PAUL,MN,Private room,0,1,0,14,14,100
334,SAN DIEGO,CA,Entire home/apt,300,2,25,3,75,96
335,SAN DIEGO,CA,Entire home/apt,500,1,0,4,90,97
336,RIVER FALLS,WI,Entire home/apt,500,2,25,3,7,98
337,LOS ANGELES,CA,Private room,150,1,10,3,29,97
338,SAN FRANCISCO,CA,Private room,200,1,20,2,30,99
339,SANTA MONICA,CA,Private room,5000,2,0,5,30,99
340,LOS ANGELES,CA,Entire home/apt,100,1,0,31,90,90
341,PAIA,HI,Private room,500,2,0,5,365,95
342,QUEENS,NY,Private room,0,1,0,3,365,95
343,DENVER,CO,Entire home/apt,0,2,10,1,1125,100
344,SEATTLE,WA,Entire home/apt,0,6,10,30,30,92
345,SAN FRANCISCO,CA,Entire home/apt,1000,2,300,30,1125,96
346,HONOLULU,HI,Entire home/apt,100,3,0,1,1125,86
347,SAN DIEGO,CA,Entire home/apt,500,1,0,5,31,96
348,NASHVILLE,TN,Entire home/apt,0,8,50,7,1125,100
349,KIHEI,HI,Entire home/apt,300,1,0,2,90,98
350,SAN DIEGO,CA,Entire home/apt,1200,4,50,2,365,97
351,QUEENS,NY,Entire home/apt,0,4,25,30,1125,100
352,LOS ANGELES,CA,Entire home/apt,0,2,20,3,90,96
353,LOS ANGELES,CA,Entire home/apt,0,6,50,3,30,99
354,BOSTON,MA,Private room,400,1,40,91,1125,93
355,SAN JOSE,CA,Private room,0,1,0,1,30,100
356,NEW ORLEANS,LA,Entire home/apt,150,1,0,3,14,95
357,SEATTLE,WA,Shared room,0,1,0,30,30,93
358,PORTLAND,OR,Private room,0,1,0,1,30,98
359,AUSTIN,TX,Entire home/apt,150,1,0,2,1125,92
360,NEW YORK,NY,Private room,300,1,30,1,1125,90
361,COLUMBUS,OH,Entire home/apt,0,1,0,1,180,100
362,BROOKLYN,NY,Entire home/apt,0,1,15,4,1123,100
363,SAN DIEGO,CA,Entire home/apt,500,1,0,28,90,100
364,CHICAGO,IL,Private room,200,1,25,1,365,82
365,WASHINGTON,DC,Entire home/apt,0,1,0,1,27,98
366,AUSTIN,TX,Private room,0,1,0,1,30,90
367,HUNTINGTON PARK,CA,Entire home/apt,300,1,25,2,1125,96
368,SAN FRANCISCO,CA,Private room,0,1,0,2,1125,99
369,SEATTLE,WA,Entire home/apt,500,1,0,30,1125,100
370,PACIFICA,CA,Entire home/apt,5000,4,100,2,1125,100
371,HONOLULU,HI,Entire home/apt,0,1,0,2,30,98
372,NEW YORK,NY,Private room,250,1,32,1,1125,88
373,SAN DIEGO,CA,Entire home/apt,0,1,0,2,10,98
374,BROOKLYN ,NY,Entire home/apt,0,1,0,3,60,100
375,WASHINGTON,DC,Entire home/apt,0,2,40,1,30,89
376,HONOLULU,HI,Entire home/apt,0,2,17,1,365,80
377,GLENDALE,CA,Entire home/apt,250,1,15,2,10,99
378,AUSTIN,TX,Private room,0,1,0,1,1125,98
379,BROOKLYN,NY,Entire home/apt,150,4,15,30,1125,96
380,BROOKLYN,NY,Entire home/apt,0,2,15,3,10,100
381,CARSON,CA,Private room,200,1,20,2,1125,84
382,KAILUA,HI,Entire home/apt,500,1,0,30,90,100
383,NEW YORK,NY,Private room,0,1,15,6,1125,95
384,AUSTIN,TX,Entire home/apt,250,2,25,2,1125,95
385,NASHVILLE,TN,Entire home/apt,500,1,0,2,30,99
386,QUEENS,NY,Private room,300,1,30,21,1125,98
387,SAN FRANCISCO,CA,Private room,300,1,13,30,180,100
388,LOS ANGELES,CA,Entire home/apt,400,2,0,2,1125,98
389,SEATTLE,WA,Entire home/apt,100,1,0,2,1125,99
390,BOSTON,MA,Entire home/apt,0,1,0,3,1125,60
391,HONOLULU,HI,Entire home/apt,500,1,0,4,1125,95
392,SEATTLE,WA,Entire home/apt,0,1,0,2,35,99
393,KAHUKU,HI,Entire home/apt,200,1,0,1,31,98
394,CHICAGO,IL,Private room,0,1,0,2,180,98
395,LOS ANGELES,CA,Private room,0,1,10,30,90,93
396,LOS ANGELES,CA,Entire home/apt,500,5,50,1,1125,94
397,LONG BEACH,CA,Entire home/apt,200,1,0,2,28,98
398,AUSTIN,TX,Entire home/apt,250,1,0,2,280,100
399,LOS ANGELES,CA,Private room,500,2,19,1,1125,100
400,KIHEI,HI,Entire home/apt,0,1,0,3,365,94
401,BROOKLYN ,NY,Private room,0,1,0,3,60,98
402,SAN JOSE,CA,Entire home/apt,550,5,0,3,1125,100
403,QUEENS,NY,Entire home/apt,0,2,0,5,1125,98
404,SAN JOSE,CA,Entire home/apt,0,1,0,1,100,100
405,LOS ANGELES,CA,Private room,0,2,0,1,28,94
406,NASHVILLE,TN,Entire home/apt,0,1,0,1,1125,79
407,NASHVILLE,TN,Entire home/apt,400,6,25,2,90,98
408,PRINCEVILLE,HI,Entire home/apt,0,1,0,7,7,100
409,NASHVILLE,TN,Entire home/apt,100,1,0,1,1125,96
410,AUSTIN,TX,Entire home/apt,200,1,0,2,1125,95
411,NEW YORK,NY,Entire home/apt,0,1,0,1,29,95
412,SAN FRANCISCO,CA,Private room,200,1,45,1,14,93
413,BROOKLYN,NY,Entire home/apt,0,2,10,2,28,97
414,BROOKLYN,NY,Entire home/apt,200,4,25,3,1125,100
415,NEW YORK,NY,Entire home/apt,200,1,15,2,1125,99
416,SAN JOSE,CA,Private room,0,1,0,7,1125,100
417,OAKLAND,CA,Entire home/apt,0,1,0,3,180,97
418,NEW ORLEANS,LA,Entire home/apt,150,5,25,2,1125,93
419,ASTORIA ,NY,Entire home/apt,250,4,25,2,1125,98
420,KIHEI,HI,Entire home/apt,0,4,0,1,365,93
421,NEW YORK,NY,Private room,1000,1,25,2,7,100
422,NEW ORLEANS,LA,Entire home/apt,0,1,0,30,1125,100
423,QUEENS,NY,Private room,0,1,0,1,1125,95
424,TORRANCE,CA,Entire home/apt,500,4,25,5,30,99
425,HILO,HI,Private room,0,1,0,2,5,100
426,BROOKLYN,NY,Entire home/apt,460,1,0,2,1125,96
427,NEW YORK,NY,Private room,300,1,0,3,60,99
428,HONOLULU,HI,Entire home/apt,134,1,0,4,30,80
429,KIHEI,HI,Entire home/apt,1000,1,0,4,1125,98
