,city,state,room_type,security_deposit,guests_included,extra_people,minimum_nights,maximum_nights,review_scores_rating
51632,TORRANCE,CA,Private room,100,1,0,1,30,92
51633,NASHVILLE,TN,Entire home/apt,300,6,30,2,90,96
51634,APTOS,CA,Entire home/apt,200,6,65,3,30,93
51635,NEW YORK,NY,Private room,0,1,30,2,15,95
51636,BROOKLYN,NY,Entire home/apt,400,1,0,4,89,100
51637,SANTA CLARA,CA,Entire home/apt,500,1,0,30,1125,100
51638,NEW YORK,NY,Entire home/apt,0,1,10,5,60,60
51639,PĀHOA,HI,Entire home/apt,0,1,0,1,1125,93
51640,CHICAGO,IL,Entire home/apt,500,1,0,3,1125,100
51641,OAKLAND,CA,Private room,0,2,15,2,21,86
51642,LOS ANGELES,CA,Entire home/apt,250,4,35,30,1125,89
51643,AUSTIN,TX,Entire home/apt,500,6,25,3,1125,100
51644,NEW YORK,NY,Entire home/apt,500,4,29,30,60,98
51645,ROWLAND HEIGHTS,CA,Private room,0,1,10,5,1125,100
51646,WASHINGTON,DC,Entire home/apt,0,1,0,120,1125,100
51647,SAN JOSE,CA,Private room,0,1,10,2,1125,100
51648,BROOKLYN,NY,Private room,0,1,10,1,30,97
51649,QUEENS,NY,Entire home/apt,2000,12,300,3,31,100
51650,BIG LAKE,MN,Entire home/apt,500,4,25,1,7,97
51651,DENVER,CO,Entire home/apt,100,4,15,2,7,98
51652,HONOLULU,HI,Entire home/apt,300,5,0,1,90,90
51653,SAN DIEGO,CA,Entire home/apt,300,1,0,3,1125,97
51654,LINO LAKES,MN,Private room,0,1,8,3,10,99
51655,WASHINGTON,DC,Entire home/apt,0,2,20,3,1125,95
51656,SAN DIEGO,CA,Entire home/apt,0,2,50,3,1125,93
51657,SAN FRANCISCO,CA,Entire home/apt,500,6,50,3,1125,100
51658,SAN JOSE,CA,Entire home/apt,400,2,10,1,120,95
51659,LONG BEACH,CA,Entire home/apt,0,1,20,2,1125,97
51660,CHICAGO,IL,Private room,0,2,15,1,1125,100
51661,NEW YORK,NY,Entire home/apt,200,2,50,1,1125,99
51662,NEW YORK,NY,Private room,0,1,20,3,30,99
51663,WAIALUA,HI,Entire home/apt,0,1,0,5,90,98
51664,BROOKLYN,NY,Entire home/apt,500,2,60,7,60,100
51665,SAN FRANCISCO,CA,Private room,0,2,12,1,1125,87
51666,WASHINGTON,DC,Entire home/apt,0,2,20,1,800,97
51667,NASHVILLE,TN,Entire home/apt,0,4,30,2,90,97
51668,SAN DIEGO,CA,Entire home/apt,300,1,0,3,1125,40
51669,NASHVILLE,TN,Entire home/apt,199,1,0,2,1125,95
51670,PACIFICA,CA,Private room,0,4,0,1,1125,100
